Computer #,Laptop Brand,Laptop Model,Laptop Type,Price ($CAD),CPU Brand,CPU Model,CPU Cores,CPU Speed(GHz),RAM (GB),Storage (GB),GPU,USB ports,Operating System,"Display Size ("")",Resolution Width (pixels),Resolution Height (pixels),Weight (lbs),Touchscreen,Quality Rating (out of 10),Speed Rating,Memory Rating,Display Rating,Overall Rating,Hyperlink
18,Microsoft,Surface Go 3,Creative,649.99,Intel ,Pentium Gold,2,1.1,8,128,Integrated,1,Windows 11 Home,10.5,1920,1280,1.2,FALSE,8.5,1.4,7,4.2,5.3,https://www.staples.ca/products/3020375-en-microsoft-surface-go-3-105-touch-screen-laptop-intel-pentium-gold-8gb-ram-128gb-ssd-windows-11-home-in-s-mode-platinum
19,Dynabook,Satellite Pro C50-H,Creative,819.99,Intel ,i3-1005G1,4,3.4,8,256,Intel UHD,3,Windows 10 Pro,15.6,1366,768,3.88,FALSE,6.7,7.6,7,5.4,6.7,https://www.staples.ca/products/3006979-en-dynabook-satellite-pro-c50-h-156-hd-10th-generation-intel-core-i3-1005g1-34-ghz-8-gb-ddr4-256-gb-ssd-windows-10-pro
20,HP,15-dy2027,Professional,699.97,Intel ,i5-1135G7,4,4.2,8,512,Intel Iris Xe,1,Windows 10 Home,15.6,1920,1080,3.75,FALSE,8.5,8,7,6.7,7.5,https://www.staples.ca/products/3006795-en-hp-laptop-15-dy2027ca-156-fhd-intel-core-i5-1135g7-8-gb-ddr4-512-gb-ssd-windows-10-home
21,Apple,MacBook Pro,Professional,1949.99,Apple,M1 Chip,8,3.2,8,512,Integrated Apple GPU,2,MacOS,13.3,2560,1660,3.09,FALSE,9.6,9,8,6.7,8.3,https://www.bestbuy.ca/en-ca/product/apple-macbook-pro-13-3-w-touch-bar-fall-2020-space-grey-apple-m1-chip-512gb-ssd-8gb-ram-en/15136905
22,Asus,TUF Dash 15,Gaming ,1599.99,Intel ,i7-11370H,4,3.3,16,512,NVIDIA GeForce RTX 3070,4,Windows 10 Home ,15.6,1920,1080,4.41,FALSE,7.4,7.3,8,7.3,7.5,https://www.bestbuy.ca/en-ca/product/asus-tuf-dash-15-15-6-gaming-laptop-eclipse-grey-intel-core-i7-11370h-512gb-ssd-16gb-ram-rtx-3070/15263761
23,Acer,"Acer 15.6"" Gaming Laptop",Gaming ,1599.99,Intel ,i7-11800H,8,2.4,16,512,NVIDIA GeForce RTX 3050,6,WIndows 11,15.6,1920,1080,4.85,FALSE,7.2,7,8,7.3,7.4,https://www.bestbuy.ca/en-ca/product/acer-15-6-gaming-laptop-black-intel-core-i7-11800h-512gb-ssd-16gb-ram-geforce-rtx-3050-windows-11/15743201
24,MSI,Katana GF76 ,Gaming ,1399.99,Intel ,i7-11800H,8,2.4,16,512,NVIDIA GeForce RTX3050 Ti,4,Windows 10 Home ,17.3,1920,1080,5.03,FALSE,8.3,7,8,8,7.8,https://www.bestbuy.ca/en-ca/product/msi-katana-gf76-17-3-gaming-laptop-intel-core-i7-11800h-512gb-ssd-16gb-ram-rtx-3050-ti/15464218
25,Dell,XPS 13,Professional,1999.99,Intel ,i7-1195G7,4,2.9,16,512,Intel Iris Xe,2,Windows 11 Pro 64-bit,13.4,1920,1200,2.8,TRUE,8.2,6.9,9,7.2,7.8,https://www.bestbuy.ca/en-ca/product/dell-xps-13-13-4-touchscreen-laptop-silver-intel-evo-i7-1195g7-512gb-ssd-16gb-ram-win-11-pro/15935893 
26,Asus,ZenBook,Professional,1299.99,intel ,i7-1165G7 ,4,2.8,16,512,Intel Iris Xe,3,Windows 11 Home,14,1920,1080,2.6,FALSE,7.8,6.9,9,6.3,7.5,https://www.bestbuy.ca/en-ca/product/asus-zenbook-14-laptop-pine-grey-intel-core-i7-1165g7-512gb-ssd-16gb-ram-windows-11/15779899
27,Dell,G15,Gaming ,1699.99,Intel , i7-11800H,8,2.3,16,512,NVIDIA GeForce RTX 3060,4,Windows 11 Home 64-bit,15.6,1920,1080,5.38,FALSE,8,7,8,7.2,7.6,https://www.bestbuy.ca/en-ca/product/dell-g15-15-6-gaming-laptop-black-intel-core-i7-11800h-512gb-ssd-16gb-ram-rtx-3060-win-11/15935897
